image,severity,coverage,usable,glare_method,specular_frac_true,annulus_n_px,annulus_true,annulus_est,annulus_err,annulus_rel_err,interior_n_px,interior_true,interior_est,interior_err,interior_rel_err,extrapolation_penalty
10,0.0,full,True,beamstop_surface,,25886.0,0.026476569059561174,0.027847374547463034,0.0013708054879018605,0.051774287099590706,67659.0,0.018101028198899523,0.025005323765343368,0.0069042955664438445,0.3814311259325921,0.3296568388330014
10,0.25,full,True,beamstop_surface,,17197.0,0.22637188594765142,0.40988986781506537,0.18351798186741394,0.8106924634177078,74918.0,0.20310771215877516,0.35713371227443874,0.15402600011566359,0.7583463891083417,-0.05234607430936611
10,0.5,partial,True,beamstop_surface,,13880.0,0.3683173587845625,0.25476800058634236,-0.11354935819822015,-0.3082921711127871,68092.0,0.26843329872212046,0.21472723733412047,-0.05370606138799999,-0.20007227733544333,-0.10821989377734378
10,0.75,none,False,,,,,,,,,,,,,
10,1.0,partial,True,beamstop_constant,,9946.0,0.48283487501108224,0.7679793399940197,0.28514446498293744,0.5905631091299953,65410.0,0.4052014187733378,0.7679058474918443,0.3627044287185065,0.8951213197044521,0.30455821057445676
11,0.0,full,True,beamstop_surface,,26253.0,0.029635412270678594,0.11604485427416768,0.08640944200348909,2.915749617864536,67422.0,0.019222529101568346,0.10935214483343605,0.0901296157318677,4.688749084766068,1.7729994669015325
11,0.25,partial,True,beamstop_surface,,22688.0,0.22018045485164459,0.22783951105229427,0.007659056200649689,0.034785359153746344,67893.0,0.14992579017952926,0.19146177259508582,0.04153598241555656,0.2770436118150128,0.24225825266126647
11,0.5,partial,True,beamstop_surface,,18087.0,0.2970989564114323,0.3269243689048734,0.029825412493441117,0.10038881608233559,65191.0,0.2027159502709323,0.3068417218021689,0.10412577153123659,0.5136535698945802,0.41326475381224465
11,0.75,none,False,,,,,,,,,,,,,
11,1.0,partial,True,beamstop_constant,,14475.0,0.4018384497116828,0.2994997662516328,-0.10233868346004998,-0.25467618525175356,67174.0,0.3378176256431738,0.29862558857923993,-0.03919203706393387,-0.1160153706880031,-0.13866081456375046
12,0.0,full,True,beamstop_surface,,23674.0,0.03270645168877158,0.11751219682414354,0.08480574513537197,2.592936278822522,68141.0,0.01699852689941268,0.11092030186730795,0.09392177496789526,5.525289074969218,2.9323527961466964
12,0.25,full,True,beamstop_surface,,23205.0,0.17235312701553493,0.3623371049032233,0.18998397788768837,1.102294928890755,67885.0,0.12672828715748763,0.3275260851733913,0.2007977980159037,1.584474962297632,0.4821800334068769
12,0.5,partial,True,beamstop_surface,,21430.0,0.2900037855082715,0.27685377164854513,-0.013150013859726362,-0.045344283477814454,68390.0,0.210534559605992,0.24453468793135125,0.03400012832535926,0.16149428573146993,0.11615000225365547
12,0.75,none,False,,,,,,,,,,,,,
12,1.0,partial,True,beamstop_surface,,12731.0,0.49763156563969374,0.6644316998185665,0.1668001341788728,0.33518800995763826,62969.0,0.5684091412910112,0.7248625858441105,0.15645344455309929,0.2752479388310876,-0.05994007112655064
13,0.0,full,True,beamstop_surface,,15404.0,0.033079623838731594,0.06589999321288145,0.03282036937414986,0.9921627142483348,67379.0,0.020917239915730378,0.061695563854341856,0.04077832393861148,1.949507874982348,0.9573451607340132
13,0.25,partial,True,beamstop_surface,,19409.0,0.1911224020809774,0.343649323412179,0.15252692133120163,0.7980588338701232,68038.0,0.1561380353304585,0.31550143497811967,0.15936339964766116,1.0206571339928565,0.2225983001227333
13,0.5,none,False,,,,,,,,,,,,,
13,0.75,partial,True,beamstop_surface,,16221.0,0.5456557668158031,0.5692399564678753,0.023584189652072207,0.04322173627834766,69197.0,0.4109662165273737,0.4998027316485443,0.08883651512117058,0.21616500711866504,0.17294327084031738
13,1.0,partial,True,beamstop_surface,,17613.0,0.3568131817687979,0.31980130650412497,-0.03701187526467292,-0.10372900205423265,61543.0,0.27451851765888785,0.35086185881706783,0.07634334115817998,0.278099057977003,0.17437005592277038
14,0.0,full,True,beamstop_surface,,27005.0,0.032923856675393125,0.027713395114998512,-0.005210461560394612,-0.15825793471786206,67542.0,0.017932278121996575,0.02510037152940584,0.007168093407409263,0.39973133132574734,0.24147339660788528
14,0.25,partial,True,beamstop_surface,,16629.0,0.19217622665444345,0.2556232557191203,0.06344702906467686,0.3301502489106649,67791.0,0.19211603119917953,0.22806363588736997,0.03594760468819044,0.1871140292864012,-0.14303621962426372
14,0.5,none,False,,,,,,,,,,,,,
14,0.75,partial,True,beamstop_constant,,13670.0,0.5076617596904407,0.4084157290096885,-0.09924603068075222,-0.19549636896281086,73937.0,0.4185835942290855,0.40838926270450404,-0.010194331524581435,-0.024354350397694294,-0.17114201856511657
14,1.0,none,False,,,,,,,,,,,,,
15,0.0,full,True,beamstop_surface,,23837.0,0.036406919745105536,0.004762637890289312,-0.03164428185481622,-0.869183168374754,67388.0,0.019191335035797633,0.0048951112639424015,-0.014296223771855231,-0.744931175720108,-0.12425199265464593
15,0.25,partial,True,beamstop_surface,,19784.0,0.16202530609701485,0.2124838222161214,0.05045851611910654,0.3114236740827005,69185.0,0.09631315015003766,0.19274620945279694,0.09643305930275928,1.001244992532534,0.6898213184498334
15,0.5,partial,True,beamstop_surface,,13430.0,0.3949805375621118,0.40358893740114676,0.008608399839034941,0.021794491172065018,69827.0,0.2702022549392817,0.3302811006588769,0.06007884571959521,0.22234768445250683,0.2005531932804418
15,0.75,partial,True,beamstop_surface,,14048.0,0.5461411282982388,0.23585719745774963,-0.31028393084048916,-0.5681387369732172,74094.0,0.40160405432597235,0.1995743486297821,-0.20202970569619025,-0.5030569375980641,-0.06508179937515302
15,1.0,partial,True,beamstop_surface,,9944.0,0.6002330044229214,0.34148386346657106,-0.2587491409563503,-0.4310811618983165,76405.0,0.6903099559678918,0.49209146100049983,-0.19821849496739197,-0.28714419262498897,-0.14393696927332755
16,0.0,full,True,beamstop_surface,,23641.0,0.03554779022881393,0.11562398009336705,0.08007618986455312,2.252634814966525,67892.0,0.018983312060697005,0.11313539294367807,0.09415208088298106,4.9597288703857565,2.7070940554192315
16,0.25,none,False,,,,,,,,,,,,,
16,0.5,partial,True,beamstop_surface,,18359.0,0.37803118119443085,0.1595045228936068,-0.21852665830082404,-0.578065168091069,70726.0,0.3813032946067873,0.14298379053085478,-0.23831950407593253,-0.6250129685391141,0.04694780044804514
16,0.75,partial,True,beamstop_surface,,14431.0,0.3595311046859878,0.4767086083573508,0.11717750367136298,0.32591756914524844,67514.0,0.2943292961085009,0.456424012748772,0.16209471664027109,0.5507257306133633,0.22480816146811483
16,1.0,none,False,,,,,,,,,,,,,
17,0.0,full,True,beamstop_surface,,20799.0,0.02935652655292262,0.030467786357714844,0.0011112598047922223,0.037853926716735146,67065.0,0.018338690035149933,0.028472777951533024,0.010134087916383091,0.5526069690342654,0.5147530423175303
17,0.25,partial,True,beamstop_surface,,22395.0,0.17187078649095958,0.13312020470488578,-0.038750581786073796,-0.22546345761972808,67718.0,0.11921862680988884,0.11369118755719453,-0.005527439252694319,-0.046363889608530814,-0.17909956801119725
17,0.5,partial,True,beamstop_surface,,13073.0,0.3376934497478528,0.6015482674086208,0.26385481766076796,0.7813441979931257,71419.0,0.33109499372551054,0.8773334117530116,0.5462384180275011,1.649793649493692,0.8684494515005663
17,0.75,partial,True,beamstop_surface,,10747.0,0.49910597813967306,0.714641560591478,0.21553558245180493,0.43184331963959777,74883.0,0.39323834072651476,0.6249631303790983,0.23172478965258358,0.5892731345180329,0.1574298148784351
17,1.0,partial,True,beamstop_surface,,11499.0,0.49959089466854895,0.8136469499737463,0.31405605530519737,0.6286264594825257,72212.0,0.3625767688711212,1.1415489227885312,0.7789721539174099,2.1484337133422287,1.519807253859703
18,0.0,full,True,beamstop_surface,,25779.0,0.03616275212616975,0.014161919719225844,-0.022000832406943904,-0.608383795851164,67798.0,0.023031074131080752,0.013419972062205767,-0.009611102068874985,-0.4173101963969918,-0.19107359945417218
18,0.25,none,False,,,,,,,,,,,,,
18,0.5,partial,True,beamstop_surface,,19697.0,0.32768786187841303,0.4690058862181629,0.14131802433974988,0.43125803784634914,67118.0,0.2300408887569655,0.3921271301992314,0.1620862414422659,0.7045975275008932,0.2733394896545441
18,0.75,partial,True,beamstop_surface,,12536.0,0.6344731231049514,0.4882493767943177,-0.14622374631063373,-0.23046483922762812,73025.0,0.5336880592545151,0.5510385035855743,0.017350444331059145,0.032510460052816624,-0.19795437917481148
18,1.0,none,False,,,,,,,,,,,,,
19,0.0,full,True,beamstop_surface,,27190.0,0.027081814741727488,0.02869970810281413,0.001617893361086642,0.05974095076404914,66881.0,0.01639649140992611,0.028940339411082237,0.012543848001156127,0.7650324503913277,0.7052914996272786
19,0.25,none,False,,,,,,,,,,,,,
19,0.5,partial,True,beamstop_surface,,19804.0,0.28144960080885595,0.2340223435822121,-0.04742725722664384,-0.16851065729119172,67051.0,0.1880104269346304,0.19309831755083245,0.005087890616202045,0.027061747048588217,-0.1414489102426035
19,0.75,none,False,,,,,,,,,,,,,
19,1.0,partial,True,beamstop_surface,,12013.0,0.4206152715674785,0.24093658527651338,-0.17967868629096514,-0.4271806052627826,63796.0,0.3294577380479399,0.22575149529600774,-0.10370624275193213,-0.3147785915316449,-0.11240201373113773
